Identifier,Approximate Zip Code,Reading Timestamp,Reading Day,Reading Time String,Concentration
Sensor 21397,94040,12/15/21 00:59:47,Wednesday,Night,1.02
Sensor 21397,94040,12/15/21 06:59:51,Wednesday,Morning,0.88
Sensor 21397,94040,12/15/21 12:59:56,Wednesday,Midday,0.16
Sensor 21397,94040,12/15/21 18:59:59,Wednesday,Evening,0.0
Sensor 21397,94040,12/16/21 01:00:03,Thursday,Night,0.0
Sensor 21397,94040,12/16/21 07:00:06,Thursday,Morning,2.05
Sensor 21397,94040,12/16/21 13:00:11,Thursday,Midday,0.0
Sensor 21397,94040,12/16/21 19:00:30,Thursday,Evening,3.02
Sensor 21397,94040,12/17/21 13:00:35,Friday,Midday,1.0
Sensor 21397,94040,12/17/21 19:00:38,Friday,Evening,10.62
Sensor 21397,94040,12/18/21 01:00:41,Saturday,Night,8.29
Sensor 21397,94040,12/18/21 07:00:45,Saturday,Morning,4.81
Sensor 21397,94040,12/18/21 13:00:49,Saturday,Midday,20.61
Sensor 40249,94304,12/11/21 19:00:13,Saturday,Evening,0.6
Sensor 40249,94304,12/12/21 01:00:14,Sunday,Night,1.59
Sensor 40249,94304,12/12/21 07:00:13,Sunday,Morning,1.93
Sensor 40249,94304,12/12/21 13:00:15,Sunday,Midday,0.15
Sensor 40249,94304,12/12/21 19:00:18,Sunday,Evening,0.0
Sensor 40249,94304,12/13/21 01:00:21,Monday,Night,0.0
Sensor 40249,94304,12/13/21 07:00:24,Monday,Morning,0.0
Sensor 40249,94304,12/13/21 13:00:27,Monday,Midday,0.36
Sensor 40249,94304,12/13/21 19:00:30,Monday,Evening,0.0
Sensor 40249,94304,12/14/21 01:00:33,Tuesday,Night,3.1
Sensor 40249,94304,12/14/21 07:00:35,Tuesday,Morning,0.0
Sensor 40249,94304,12/14/21 13:00:38,Tuesday,Midday,0.0
Sensor 40249,94304,12/14/21 19:00:41,Tuesday,Evening,0.28
Sensor 40249,94304,12/15/21 01:00:44,Wednesday,Night,0.33
Sensor 40249,94304,12/15/21 07:00:46,Wednesday,Morning,0.62
Sensor 40249,94304,12/15/21 13:00:49,Wednesday,Midday,0.31
Sensor 40249,94304,12/15/21 19:00:52,Wednesday,Evening,0.0
Sensor 40249,94304,12/16/21 01:00:54,Thursday,Night,0.0
Sensor 40249,94304,12/16/21 07:00:57,Thursday,Morning,0.0
Sensor 40249,94304,12/16/21 12:59:00,Thursday,Midday,0.88
Sensor 40249,94304,12/16/21 18:59:03,Thursday,Evening,1.52
Sensor 40249,94304,12/17/21 00:59:05,Friday,Night,6.25
Sensor 40249,94304,12/17/21 06:59:08,Friday,Morning,2.44
Sensor 40249,94304,12/17/21 12:59:11,Friday,Midday,0.46
Sensor 40249,94304,12/17/21 18:59:13,Friday,Evening,9.73
Sensor 40249,94304,12/18/21 00:59:16,Saturday,Night,0.28
Sensor 40249,94304,12/18/21 06:59:19,Saturday,Morning,5.16
Sensor 40249,94304,12/18/21 12:59:22,Saturday,Midday,13.17
Sensor 118823,94028,12/11/21 19:00:26,Saturday,Evening,0.0
Sensor 118823,94028,12/12/21 01:00:30,Sunday,Night,0.0
Sensor 118823,94028,12/12/21 07:00:34,Sunday,Morning,0.0
Sensor 118823,94028,12/12/21 13:00:38,Sunday,Midday,0.0
Sensor 118823,94028,12/12/21 19:00:41,Sunday,Evening,15.82
Sensor 118823,94028,12/13/21 01:00:45,Monday,Night,0.0
Sensor 118823,94028,12/13/21 07:00:49,Monday,Morning,0.0
Sensor 118823,94028,12/13/21 13:00:52,Monday,Midday,0.0
Sensor 118823,94028,12/13/21 19:00:56,Monday,Evening,24.67
Sensor 118823,94028,12/14/21 00:59:00,Tuesday,Night,0.0
Sensor 118823,94028,12/14/21 06:59:03,Tuesday,Morning,0.0
Sensor 118823,94028,12/14/21 12:59:07,Tuesday,Midday,0.0
Sensor 118823,94028,12/14/21 18:59:11,Tuesday,Evening,0.0
Sensor 118823,94028,12/15/21 00:59:14,Wednesday,Night,0.0
Sensor 118823,94028,12/15/21 06:59:18,Wednesday,Morning,0.0
Sensor 118823,94028,12/15/21 12:59:22,Wednesday,Midday,0.0
Sensor 118823,94028,12/15/21 18:59:26,Wednesday,Evening,27.23
Sensor 118823,94028,12/16/21 00:59:30,Thursday,Night,0.0
Sensor 118823,94028,12/16/21 06:59:33,Thursday,Morning,0.0
Sensor 118823,94028,12/16/21 12:59:37,Thursday,Midday,0.0
Sensor 118823,94028,12/16/21 18:59:41,Thursday,Evening,0.0
Sensor 118823,94028,12/17/21 00:59:45,Friday,Night,1.0
Sensor 118823,94028,12/17/21 06:59:48,Friday,Morning,0.0
Sensor 118823,94028,12/17/21 12:59:52,Friday,Midday,0.0
Sensor 118823,94028,12/17/21 18:59:56,Friday,Evening,35.11
Sensor 118823,94028,12/18/21 01:00:00,Saturday,Night,0.0
Sensor 118823,94028,12/18/21 07:00:04,Saturday,Morning,0.0
Sensor 118823,94028,12/18/21 13:00:07,Saturday,Midday,16.13
Sensor 72523,94024,12/11/21 19:00:53,Saturday,Evening,18.95
